GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Infraestructure,default,UnitOfWork,0,35,0,2,0,10,0,3,0,2
Infraestructure,default,Infraestructure,0,21,0,0,0,9,0,2,0,2
Infraestructure,Context,IWriteDbContext,0,4,0,0,0,2,0,1,0,1
Infraestructure,Repository,AsientoRepository,14,0,0,0,6,0,3,0,3,0
Infraestructure,Repository,MarcaRepository,58,0,0,0,11,0,9,0,9,0
Infraestructure,Repository,AeronaveRepository,20,38,0,0,0,11,3,6,3,6
Infraestructure,Context.MongoDB,WriteDbContext,237,55,14,0,49,17,24,3,17,3
